,sentence,canonical_aspect,raw_aspects,aspect_categories,sentiments,tones,avg_confidence
217,"Hal ini sesuai dengan visi dan nilai yang Perseroan miliki yaitu memberikan dampak positif pada kehidupan melalui mobilitas cerdas dan integrasi sosial, di mana keberadaan kami harus membantu komunitas kami serta bertanggung jawab untuk membantu semua pemangku kepentingan kami bahagia melebihi harapan mereka.",positive social impact,positive social impact,E-S,positive,commitment,0.9
230,"In 2024, product energy use generated 4,362,000 tonnes of CO2e, accounting for 25% of our total carbon footprint.",product energy use and emissions,"Product energy use and CO2e emissions, Product energy use emissions",E,neutral,outcome,0.75
308,Menyediakan informasi produk secara jelas di dalam tiap label kemasan,product information,Product Information,S,positive,action,0.85
444,This determination is reflected in the innovative products we launch that were aligned with the market needs.,product innovation,"Product Innovation, product innovation",G,positive,outcome,0.79
409,Tekad tersebut tercermin dari produk-produk inovatif yang kami luncurkan yang sesuai dengan kebutuhan pasar.,product innovation,Product Innovation,G,positive,outcome,0.8
396,Seluruh produk Unilever Indonesia telah tersertifikasi BPOM dan Halal,product safety & compliance,Product Safety & Compliance,S-G,positive,outcome,0.85
397,Seluruh produk Unilever Indonesia telah tersertifikasi BPOM dan Halal,product safety & quality,Product Safety & Quality,S-G,positive,outcome,0.9
398,Seluruh produk Unilever Indonesia telah tersertifikasi BPOM dan Halal,product safety and certification,product safety and certification,S-G,positive,outcome,0.85
309,Menyediakan informasi produk secara jelas di dalam tiap label kemasan,product transparency,Product Transparency,S,positive,action,0.8
187,Energy consumed during product use is a significant contributor to our carbon and water footprints.,product use energy consumption,"Energy consumption during product use, Product use energy consumption",E,neutral,outcome,0.75
193,"Erajaya Group engages in the distribution business and retail trading of mobile telecommunication devices such as mobile phones and tablets, subscriber identity module card (SIM Card), mobile operator network voucher top-up, accessories, and gadgets such as computers and other electronic devices.",products and services,products and services,G,neutral,outcome,0.8
458,To Provide mobile products and solutions to improve the quality and lifestyle.,products and services,products and services,S,positive,commitment,0.8
293,"Laba Bersih Net Profit menurun sebesar 13,79% menjadi Rp86.401 juta pada tahun 2024.",profit decline,profit decline,G,negative,outcome,0.91
245,Income for the Year / Total Net Sales ▼ -22.87%,profit margin,Profit Margin,G,negative,outcome,0.8
132,"BRI successfully profitability with Return on Asset at 3.06% and Return on Equity at 19.01%, and generated net profit of IDR 60.64 trillion.",profitability,profitability,G,positive,outcome,0.8
369,Profit Before Income Tax 2015 +7.90%,profitability,Profitability,G,positive,outcome,0.9
519,"We are making measurable progress. Across our environmental and societal goals, we are seeing results and advancing on many fronts.",progress on esg goals,progress on ESG goals,E-S-G,positive,outcome,0.9
554,"We strive to provide the most accurate environmental impact data, but some level of uncertainty will remain, and results should be considered accordingly.",providing accurate environmental impact data,Providing accurate environmental impact data,G,neutral,commitment,0.75
561,positive,providing accurate environmental impact data,Providing accurate environmental impact data,G,neutral,outcome,0.8
469,"To discuss the pivotal role public policy plays in driving progress toward a more sustainable and circular economy, we engaged key trade associations like the Chamber of Commerce, American Chamber of Commerce ELL, the International Conservation Caucus Foundation, the Information Technology Industry Council, and the Consumer Technology Association, as well as international entities like the World Economic Forum and the United Nations.",public policy engagement,"Public Policy Engagement, public policy engagement",E-S-G,positive,action,0.9066666667
170,"Dengan proses digitalisasi tersebut, setiap informasi keuangan dan operasional dapat diakses secara real-time.",real-time data access,real-time data access,G,positive,outcome,0.9
344,Penggunaan plastik hasil daur ulang Post-Consumer Recycled Plastic (PCR) dalam kemasan produk,recycled content,Recycled Content,E,positive,action,0.9
205,"From 2019 to 2024, we achieved an average reduction of 24% in the energy consumption of our personal systems products, including 35% in notebooks, 51% in workstations, and 8% in displays.",reduction in energy consumption,Reduction in energy consumption,E,positive,outcome,0.875
391,"Selain itu, melalui berbagai langkah yang kami lakukan, kami juga dapat menekan emisi cakupan 1 menjadi 31.262 ton CO2 dari 34.146 ton CO2 di tahun 2020.",reduction of scope 1 emissions,reduction of scope 1 emissions,E,positive,outcome,0.9
347,Pengurangan penggunaan plastik baru (virgin plastic) dalam kemasan produk Unilever,reduction of virgin plastic,reduction of virgin plastic,E,positive,action,0.8
372,Refined the LCA model for inkjet supplies to align with the latest manufacturing practice for printheads.,refining life cycle assessment models,"Refining LCA model, Refining LCA model for inkjet supplies",E,positive,action,0.8
176,"Di tahun 2015, untuk memenuhi Peraturan Menteri Perdagangan RI Nomor 38/M-DAG/PER/8/2013... Erajaya Group telah mengakuisisi 5.100 lembar saham atau sebesar 51% saham PT Axioo International Indonesia dari PT Exa Nusa Persada.",regulatory compliance,Regulatory Compliance,G,neutral,outcome,0.8
427,"Therefore, achieving digital connectivity must go hand-in-hand with adaptive regulations, strong public protection, and political stability that supports innovation.",regulatory compliance,Regulatory Compliance,G-S,neutral,commitment,0.825
164,"Dasar penyusunan laporan ini adalah Peraturan Otoritas Jasa Keuangan No. 51/POJK.03/2017 tentang Penerapan Keuangan Berkelanjutan bagi Lembaga Jasa Keuangan, Emiten, dan Perusahaan Publik dan Perusahaan Publik serta indikator standar pelaporan berdasarkan Global Reporting Initiative (""GRI"") Standards 2021 dengan opsi pelaporan ""with reference"".",regulatory compliance,Regulatory Compliance,G,neutral,outcome,0.8
175,"Di tahun 2015, untuk memenuhi Peraturan Menteri Perdagangan RI Nomor 38/M-DAG/PER/8/2013 tentang Perubahan Atas Peraturan Menteri Perdagangan Nomor 82/M-DAG/PER/2012 Tentang Ketentuan Impor Telepon Seluler, Komputer Genggam (Handheld), dan Komputer Tablet Pasal 8A yang mewajibkan Perseroan untuk mendirikan Industri Telepon Seluler, Komputer Genggam (Handheld) dan Komputer Tablet, Erajaya Group telah mengakuisisi 5.100 lembar saham atau sebesar 51% saham PT Axioo International Indonesia dari PT Exa Nusa Persada.",regulatory compliance,regulatory compliance,G,neutral,outcome,0.75
222,"In 2015, to comply with the Trade Minister Regulation No. 38/M-DAG/PER/8/2013 on the Amendment to the Article 8A of the Regulation of the Minister of Trade No. 82/M-DAG/PER/2012 on the Imports of Cell Phones, Handheld Computer, and Computer Tablet, which requires the Company to establish Industrial Cell Phones, Handheld Computers and Tablet Computers",regulatory compliance,Regulatory Compliance,G,neutral,outcome,0.8
223,"In 2015, to comply with the Trade Minister Regulation No. 38/M-DAG/PER/8/2013 on the Amendment to the Article 8A of the Regulation of the Minister of Trade No. 82/M-DAG/PER/2012 on the Imports of Cell Phones, Handheld Computer, and Computer Tablet, which requires the Company to establish Industrial Cell Phones, Handheld Computers and Tablet Computers, Erajaya Group acquired 5,100 shares or 51% shares of PT Axioo International Indonesia from PT Exa Nusa Persada.",regulatory compliance,regulatory compliance,G,neutral,outcome,0.7
449,"This report has been prepared in compliance with the Financial Services Authority Regulation (POJK) Number 51/POJK.03/2017 on the Implementation of Sustainable Finance for Financial Institutions, Issuers, and Public Companies, as well as Financial Services Authority Circular Letter Number 16/SEOJK.24/2021.",regulatory compliance,Regulatory compliance,G,neutral,outcome,0.9
462,"To comply with the Regulation of the Minister of Trade No. 38/M-DAG/PER/8/2013 concerning the Amendment to the Article 8A of the Regulation of the Minister of Trade No. 82/M-DAG/PER/2012 on the Imports of Cell Phones, Handheld Computer, and Computer Tablet, which requires the Company to establish Industrial Cell Phones, Handheld Computers and Tablet Computers",regulatory compliance,Regulatory Compliance,G,neutral,outcome,0.8
463,To comply with the Regulation of the Minister of Trade...,regulatory compliance,Regulatory Compliance,G,neutral,outcome,0.7
549,"We have now reached 100% renewable electricity in our U.S. operations, reflecting our continued progress toward a net-zero future.",renewable electricity,renewable electricity,E,positive,outcome,0.9
550,"We have now reached 100% renewable electricity in our U.S. operations, reflecting our continued progress toward a net-zero future.",renewable energy,renewable energy,E,positive,outcome,0.94
518,We are investing in renewable energy sources.,renewable energy,renewable energy,E,positive,action,0.92
278,Kami terus bertransisi ke sumber terbarukan dengan memperluas pemanfaatan tenaga surya.,renewable energy adoption,"Renewable Energy Adoption, renewable energy adoption",E,positive,action,0.905
516,We are investing in renewable energy sources to power our operations.,renewable energy investment,Renewable energy investment,E,positive,action,0.88
517,"We are investing in renewable energy sources, such as solar and wind power.",renewable energy investment,Renewable Energy Investment,E,positive,action,0.9
448,This report focuses exclusively on PT Bank BRI (Persero) Tbk and does not include details related to its subsidiaries.,report scope,Report scope,G,neutral,outcome,0.8
165,"Dasar penyusunan laporan ini adalah Peraturan Otoritas Jasa Keuangan No. 51/POJK.03/2017 tentang Penerapan Keuangan Berkelanjutan bagi Lembaga Jasa Keuangan, Emiten, dan Perusahaan Publik dan Perusahaan Publik serta indikator standar pelaporan berdasarkan Global Reporting Initiative (""GRI"") Standards 2021 dengan opsi pelaporan ""with reference"".",reporting standards,Reporting Standards,G,neutral,outcome,0.8
253,"It also aligns with the Global Reporting Initiative (GRI) Standards 2021, the GRI G4 Supplement Sector Standard, and the Sustainability Accounting Standards Board (SASB) framework for commercial banks.",reporting standards alignment,Reporting standards alignment,G,neutral,outcome,0.9
524,We are transforming our value chain to embed sustainability and strengthen resilience across our global operations and supply chain.,resilience in supply chain,resilience in supply chain,E-S-G,positive,action,0.8
305,Melalui optimalisasi sumber daya dan penggunaan energi terbarukan perusahaan mendorong efisiensi yang selaras dengan keberlanjutan lingkungan.,resource efficiency,"Resource Efficiency, resource efficiency and renewable energy",E,positive,action,0.9066666667
435,These principles are the HP Way: a legacy of responsible business practices that has shaped our journey for decades and continues to guide us forward.,responsible business practices,"business practices, responsible business practices",E-S-G,positive,commitment,0.9
488,"Upaya ini dilakukan dalam rangka menciptakan aktivitas operasional pertambangan yang bertanggung jawab dan ramah lingkungan, serta bermanfaat bagi kesejahteraan masyarakat lokal.",responsible mining practices,responsible mining practices,E-S,positive,action,0.85
504,We are committed to responsible sourcing of raw materials.,responsible sourcing,Responsible Sourcing,E-S-G,positive,commitment,0.95
508,We are dedicated to responsible sourcing of materials.,responsible sourcing,Responsible sourcing,E-S-G,positive,commitment,0.89
243,Income for the Year / Total Assets ▼ -16.19%,return on assets,Return on Assets,G,negative,outcome,0.8
244,Income for the Year / Total Equity ▲ 0.26%,return on equity,Return on Equity,G,neutral,outcome,0.8
247,Income from Operations / Total Equity ▼ -6.25%,return on equity,Return on Equity,G,negative,outcome,0.8
321,Net Sales 2015 +38.45%,revenue growth,Revenue Growth,G,positive,outcome,0.9
339,"Pendapatan Revenue meningkat sebesar 3,95% menjadi Rp211.679 juta pada tahun 2024.",revenue growth,revenue growth,G,positive,outcome,0.89
436,"These statements are based on current assumptions and projections and are subject to risks, uncertainties, and other factors that could cause actual outcomes to differ materially from those expressed or implied in the forward-looking statements.",risk management,Risk Management,G,neutral,outcome,0.875
370,Readers are advised to exercise caution and not rely solely on these statements for decision-making purposes.,risk management,Risk Management,G,neutral,commitment,0.85
415,"The Report may include forward-looking statements regarding the future performance, strategies, or expectations of the Company and its Subsidiary.",risk management,Risk Management,G,neutral,outcome,0.8
512,We are enhancing our risk management framework.,risk management,risk management,G,positive,action,0.89
538,"We give thanks to God Almighty for His blessings, which have enabled PT Bank Rakyat Indonesia (Persero) Tbk — hereinafter referred to as the 'Company' or 'BRI' — to successfully navigate various risks and challenges throughout 2024.",risk management,risk management,G,positive,outcome,0.85
207,"Guided by the HP Way, we pursue science-based targets, renewable energy, and human rights protections across our operations and value chain.",science-based targets and sustainability initiatives,"Science-Based Targets, Science-based targets, renewable energy, and human rights protections, sustainability initiatives",E-S-G,positive,action,0.9066666667
382,"Sebagai perusahaan yang bergerak dalam industri properti, kegiatan usaha yang dijalankan Perseroan memiliki kaitan yang sangat erat terhadap salah satu tujuan dalam SDGs, yaitu SDG 11 (Kota dan Permukiman yang Berkelanjutan).",sdg 11 alignment,SDG 11 Alignment,S,neutral,outcome,0.85
168,"Dengan menggabungkan inovasi dan kerja sama multidimensi, CPIN mewujudkan visi ""shared prosperity"" yang inklusif, berkelanjutan, dan selaras dengan Tujuan Pembangunan Berkelanjutan (SDGs).",sdg alignment,"SDG Alignment, SDG alignment",E-S,positive,outcome,0.9366666667
237,"In line with this determination, the Company also combines the PIK 2 area development strategy by prioritizing sustainability principles and supporting the achievement of the Sustainable Development Goals (SDG).",sdg alignment,SDG alignment,E-S-G,positive,action,0.85
290,"Komitmen keberlanjutan ini juga merupakan salah satu wujud dukungan kami terhadap upaya pemerintah untuk mencapai Tujuan Pembangunan Berkelanjutan (TPB) di Indonesia, terutama terkait: TPB 3: Kehidupan Sehat dan Sejahtera; TPB 4: Pendidikan Berkualitas; TPB 7: Energi Bersih dan Terjangkau; TPB 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; TPB 12: Konsumsi dan Produksi yang Bertanggung Jawab; TPB 13: Penanganan Perubahan Iklim; serta TPB 15: Ekosistem Daratan.",sdg alignment,SDG Alignment,E-S-G,positive,commitment,0.95
480,"Untuk itu, kami telah menetapkan indikator TPB yang sesuai dengan tujuan keberlanjutan Perseroan, sebagaimana diuraikan sebagai berikut:",sdg alignment,SDG alignment,E-S-G,positive,action,0.65
274,Kami sepenuhnya mendukung pencapaian SDGs di Indonesia.,sdg support,SDG Support,E-S-G,positive,commitment,0.9
431,"Therefore, the Company strives to provide the best service to all customers in order to provide reliable and always on service.",service reliability,service reliability,S,positive,commitment,0.75
492,"We also conduct annual outreach regarding our governance profile with stockholders, which most recently included stockholders representing around 35% of our outstanding stock.",shareholder and governance engagement,"Governance Outreach, stockholder engagement",G,neutral,action,0.8666666667
459,To Provide mobile products and solutions to improve the quality and lifestyle.,social impact,Social Impact,S,positive,commitment,0.9
162,"Dari menara yang mendatang di pelosok negeri, kita menyelidkan obat biasa dapat dengan mewujudkan konektivitas yang mengangkat martabat seluruh bangsa.",social impact of connectivity,social impact of connectivity,S,positive,outcome,0.87
137,"Building Indonesia's digital future is not solely about constructing infrastructure, it is about fostering solidarity, equity, and hope.",social responsibility,Social Responsibility,S,positive,commitment,0.85
314,"Mitratel berkomitmen untuk terus tumbuh dan berkembang bersama lingkungan, masyarakat, dan tata kelola perusahaan dengan menciptakan hubungan yang harmonis dengan lingkungan dan masyarakat sekitar.",social responsibility,Social Responsibility,E-S-G,positive,commitment,0.95
303,"Melalui investasi pada sumber daya manusia, kami ingin meningkatkan kesejahteraan mereka sambil tetap memperhatikan dampaknya terhadap lingkungan.",social responsibility & environmental impact,Social Responsibility & Environmental Impact,E-S,positive,commitment,0.9
447,"This is the heart of our societal impact—helping prepare the next generation for the future of work by expanding access to education, technology, and support systems people need to thrive.",societal impact,societal impact,S,positive,outcome,0.925
560,"Yet the real impact goes beyond numbers. These figures represent students discovering new possibilities, job seekers gaining critical digital and AI skills, and families connecting to opportunity.",societal impact,societal impact,S,positive,outcome,0.9
220,"I am deeply grateful to our employees, partners, and communities around the world for sharing this commitment. Your dedication and collaboration are what make our progress possible.",stakeholder collaboration,stakeholder collaboration,S,positive,outcome,0.9
299,Laporan ini memberikan informasi mengenai upaya keberlanjutan FKS Multi Agro serta mendorong dialog dan kolaborasi lebih lanjut dengan semua pemangku kepentingan.,stakeholder collaboration,stakeholder collaboration,S-G,positive,action,0.85
157,"Dalam pengembangan usahanya, Mitratel berkomitmen penuh untuk menjalin kolaborasi dan sinergi yang kokoh dengan para pemangku kepentingan dengan memposisikan diri sebagai Partner untuk membangun aspek sosial dan ekonomi, serta bersama-sama memitigasi dan mengatasi tantangan untuk pencapaian tujuan keberlanjutan, yakni kesejahteraan seluruh pemangku kepentingan serta kelestarian lingkungan.",stakeholder collaboration for sustainability,stakeholder collaboration for sustainability,E-S-G,positive,commitment,0.92
232,"In developing its business, Mitratel is fully committed to establishing strong collaboration and synergy with stakeholders by positioning itself as a Partner to develop social and economic aspects, as well as jointly mitigating and overcoming challenges to achieving sustainability goals, namely the welfare of all stakeholders and sustainability environment.",stakeholder collaboration for sustainability,stakeholder collaboration for sustainability,E-S-G,positive,commitment,0.92
434,"These interactions build our collective intelligence, help us prioritize critical issues, and provide insights into emerging opportunities and risks.",stakeholder engagement,"Stakeholder Interactions, stakeholder engagement benefits",S-G,positive,outcome,0.91
404,"Stakeholders are identified based on factors such as expertise, willingness to collaborate, reputation, location, sphere of influence, and ability to scale and accelerate progress.",stakeholder identification and selection,"Stakeholder Identification, stakeholder selection criteria",G,neutral,outcome,0.8833333333
405,"Standardized assumptions for lifetime prints of legacy products, directly boosting the share of products assessed through LCAs.",standardizing life cycle assumptions,"Standardizing assumptions, Standardizing assumptions for lifetime prints",E,positive,outcome,0.8
169,"Dengan mengoptimalkan potensi domestik dan menjalin kolaborasi lintas sektor, Indonesia dapat menjadi pusat cermat digital yang menghubungkan bukan hanya wilayah dalam negeri, tetapi juga dunia.",strategic collaboration,strategic collaboration,S-G,positive,commitment,0.9
412,The Company has taken a number of strategic step to achieve a greater future.,strategic planning,strategic planning,G,positive,commitment,0.8
416,"The Report may include forward-looking statements regarding the future performance, strategies, or expectations of the Company and its Subsidiary.",strategy,Strategy,G,neutral,outcome,0.9
530,We cross-checked supplier sites representing 95% of our spend against the Institute of Public &amp; Environmental Affairs (IPE)'s public database of environmental violations. Certain first-tier suppliers also provided information about sub-tier supplier compliance with local environmental laws.,supplier compliance,Supplier Compliance,E-G,neutral,outcome,0.9
529,We cross-checked supplier sites representing 95% of our spend against the Institute of Public & Environmental Affairs (IPE)'s public database of environmental violations. Certain first-tier suppliers also provided information about sub-tier supplier compliance with local environmental laws.,supplier environmental compliance,supplier environmental compliance,E-G,neutral,outcome,0.92
452,"This review of over 922 sub-tier suppliers against IPE's public database of environmental violations identified 63 issues in 2024. Of these, 32 had been corrected as of November 2024, and we continue working with the relevant first-tier suppliers and IPE to assess, address, and resolve the remaining issues.",supplier environmental compliance follow-up,supplier environmental compliance follow-up,E-G,neutral,outcome,0.9
196,Erajaya Group telah menjalin kemitraan strategis dengan 17 merek global ternama,supply chain,Supply Chain,G,positive,outcome,0.8
464,"To comply with the Trade Minister Regulation No. 38/M-DAG/PER/8/2013 on the Amendment to the Article 8A of the Regulation of the Minister of Trade No. 82/M-DAG/PER/2012 on the Imports of Cell Phones, Handheld Computer, and Computer Tablet, which requires the Company to establish Industrial Cell Phones, Handheld Computers and Tablet Computers, Erajaya Group acquired 5,100 shares or 51% shares of PT Axioo International Indonesia from PT Exa Nusa Persada.",supply chain,Supply Chain,G,neutral,outcome,0.9
182,"Dukungan teknis, pelatihan berkelanjutan, serta perluasan akses pasar diberikan untuk memberdayakan mitra, mendorong efisiensi produksi dan peningkatan kesejahteraan.",supply chain development,Supply Chain Development,S,positive,action,0.925
197,Erajaya Group telah menjalin kemitraan strategis dengan 17 merek global ternama,supply chain management,Supply Chain Management,G,positive,outcome,0.85
291,"Komitmen keberlanjutan ini juga merupakan salah satu wujud dukungan kami terhadap upaya pemerintah untuk mencapai Tujuan Pembangunan Berkelanjutan (TPB) di Indonesia, terutama terkait: TPB 3: Kehidupan Sehat dan Sejahtera; TPB 4: Pendidikan Berkualitas; TPB 7: Energi Bersih dan Terjangkau; TPB 8: Pekerjaan Layak dan Pertumbuhan Ekonomi; TPB 12: Konsumsi dan Produksi yang Bertanggung Jawab; TPB 13: Penanganan Perubahan Iklim; serta TPB 15: Ekosistem Daratan.",support for sdgs,Support for SDGs,E-S-G,positive,commitment,0.9
271,"Kami percaya bahwa keberlanjutan bukan hanya tanggung jawab moral, tetapi juga kunci untuk pertumbuhan jangka panjang dan keberhasilan bisnis bagi Perusahaan.",sustainability as business key,sustainability as business key,E-S-G,positive,commitment,0.9
422,The report presents BRI's sustainability aspirations to become 'The Most Valuable Banking Group in Southeast Asia & Champion of Financial Inclusion' in line with BRIVolution 2.0.,sustainability aspirations,Sustainability aspirations,E-S-G,positive,commitment,0.9
287,Komitmen Keberlanjutan / Sustainability Commitment,sustainability commitment,Sustainability Commitment,E-S-G,positive,commitment,0.7
335,"Over its 129-year journey, BRI has consistently grown and developed, providing exceptional services to the nation while adhering to its commitment to sustainability values.",sustainability commitment,sustainability commitment,E-S-G,positive,outcome,0.88
377,"Sebagai bagian integral dari komitmen Perusahaan terhadap aspek keberlanjutan, laporan ini mencerminkan upaya-upaya Perusahaan dalam mengintegrasikan prinsip-prinsip keberlanjutan ke dalam setiap aspek operasional dan strategi bisnis.",sustainability commitment,sustainability commitment,E-S-G,positive,action,0.9
493,"We also strengthen the Company's commitment to sustainability - introducing four sustainability focuses in our Growth Action Plan (GAP): Climate, Nature, Plastics, and Livelihood, which will guide us in managing our operational impacts on the Environmental, Social, and Governance (ESG).",sustainability commitment,Sustainability Commitment,E-S-G,positive,commitment,0.9
263,"Kami juga memperkuat komitmen Perseroan akan keberlanjutan dengan memperkenalkan empat fokus keberlanjutan dalam Growth Action Plan (GAP) yaitu Iklim, Alam, Plastik, dan Mata Pencaharian, yang akan menjadi panduan kami dalam mengelola dampak operasional terhadap lingkungan, masyarakat, dan penerapan tata kelola atau aspek Environmental, Social, and Governance (ESG).",sustainability commitment & focus areas,Sustainability Commitment & Focus Areas,E-S-G,positive,commitment,0.95
494,"We also strengthen the Company's commitment to sustainability - introducing four sustainability focuses in our Growth Action Plan (GAP): Climate, Nature, Plastics, and Livelihood, which will guide us in managing our operational impacts on the Environmental, Social, and Governance (ESG).",sustainability commitment and focus areas,sustainability commitment and focus areas,,,,0.9
272,"Kami percaya bahwa keberlanjutan bukan hanya tanggung jawab moral, tetapi juga kunci untuk pertumbuhan jangka panjang dan keberhasilan bisnis bagi Perusahaan.",sustainability importance,sustainability importance,E-S-G,positive,commitment,0.85
525,We are transforming our value chain to embed sustainability and strengthen resilience across our global operations and supply chain.,sustainability in value chain,sustainability in value chain,E-S-G,positive,action,0.85
408,Sustainable Impact is at the heart of HP's business strategy and is integrated throughout all levels of our company.,sustainability integration,"Sustainable Impact Integration, sustainability integration",E-S-G,positive,commitment,0.9233333333
410,"That is why sustainability is embedded in what we do—from how we innovate, to how we operate, to how we engage with our communities.",sustainability integration,sustainability integration,E-S-G,positive,commitment,0.925
378,"Sebagai bagian integral dari komitmen Perusahaan terhadap aspek keberlanjutan, laporan ini mencerminkan upaya-upaya Perusahaan dalam mengintegrasikan prinsip-prinsip keberlanjutan ke dalam setiap aspek operasional dan strategi bisnis.",sustainability integration,sustainability integration,E-S-G,positive,action,0.9
238,"In line with this determination, the Company also combines the PIK 2 area development strategy by prioritizing sustainability principles and supporting the achievement of the Sustainable Development Goals (SDG).",sustainability integration and sdgs,Sustainability Integration and SDGs,E-S-G,positive,action,0.92
123,"At FKS Multi Agro, we acknowledge that sustainability is a continuous journey.",sustainability journey,sustainability journey,E-S-G,neutral,commitment,0.85
129,BRI is also the first financial institution in Indonesia to have its near-term NZE target calculations approved by SBTi.,sustainability leadership,sustainability leadership,E-G,positive,outcome,0.98
353,"Performance of our chief enterprise operations officer, chief sustainability officer, and senior vice president of Global Product Compliance & Sustainable Impact (GPC & SI) is also evaluated in part based on the management of Sustainable Impact and the achievement of related targets and metrics.",sustainability performance evaluation,"Performance Evaluation on Sustainability, sustainability performance evaluation",G,neutral,outcome,0.91
250,Informasi tersebut berdampak signifikan pada kebijakan dan rumusan keberlanjutan yang lebih efektif dan selaras dengan strategi bisnis Perusahaan.,sustainability policies,sustainability policies,E-S-G,positive,outcome,0.85
224,"In 2021, we launched Amplify Impact, the first sustainability program for IT channel partners.",sustainability program for partners,sustainability program for partners,S-G,positive,outcome,0.92
520,"We are making measurable progress. Across our environmental and societal goals, we are seeing results and advancing on many fronts.",sustainability progress,sustainability progress,E-S-G,positive,outcome,0.9
185,"EcoVadis—a leading global sustainability ratings provider—awarded HP a platinum medal for the 15th consecutive year, placing us among the top 1% of companies worldwide.",sustainability ratings,sustainability ratings,E-S-G,positive,outcome,0.95
531,"We earned our 15th consecutive Platinum rating from EcoVadis, placing us in the top 1% of companies globally.",sustainability ratings and assessments,"EcoVadis Rating, sustainability rating",E-S-G,positive,outcome,0.97
330,"Our overall progress continues to be recognized. EcoVadis—a leading global sustainability ratings provider—awarded HP a platinum medal for the 15th consecutive year, placing us among the top 1% of companies worldwide.",sustainability recognition,sustainability recognition,E-S-G,positive,outcome,0.94
270,"Kami menyempurnakan Japfa Sustainability Reporting System (JSRS) dengan menambahkan cakupan yang relevan, sehingga secara signifikan meningkatkan kelengkapan dan akurasi data.",sustainability reporting,Sustainability Reporting,G,positive,action,0.875
296,Laporan Keberlanjutan PT Harum Energy Tbk disusun sebagai bentuk pertanggungjawaban dan penyampaian informasi tentang penerapan prinsip-prinsip keberlanjutan dalam seluruh aspek bisnis yang dijalankan.,sustainability reporting,"Sustainability Reporting, sustainability reporting",E-S-G,neutral,outcome,0.825
402,"Since 2001, HP Inc. has provided in-depth information on environmental and social progress to key stakeholders, including current and prospective employees, customers, industry analysts, and investors.",sustainability reporting,sustainability reporting,E-S-G,positive,outcome,0.8
295,"Laporan Keberlanjutan PT Harum Energy Tbk (yang selanjutnya disebut juga ""Perseroan"") disusun sebagai bentuk pertanggungjawaban dan penyampaian informasi tentang penerapan prinsip-prinsip keberlanjutan dalam seluruh aspek bisnis yang dijalankan.",sustainability reporting,Sustainability Reporting,,,,0.75
297,"Laporan Keberlanjutan ini mencakup data kinerja ekonomi, lingkungan dan sosial yang tidak diaudit oleh pihak eksternal, namun Perseroan memastikan bahwa data-data yang disajikan sesuai dengan laporan internal.",sustainability reporting,Sustainability Reporting,G,neutral,outcome,0.7
407,"Sustainability Report 2024 of PT Bank Rakyat Indonesia (Persero) Tbk (BRI) outlines the business, environmental, and social issues that directly and significantly impact the company, its employees, and stakeholders.",sustainability reporting,Sustainability reporting,E-S-G,neutral,outcome,0.9
557,Welcome to our 24th annual update: the 2024 HP Sustainable Impact Report.,sustainability reporting,sustainability reporting,G,neutral,outcome,0.85
468,"To determine the content included in this report, we considered: Recognized standards, frameworks, and global sustainability context, including the Global Reporting Initiative (GRI), the United Nations (UN) Guiding Principles on Business and Human Rights, the UN Global Compact and the UN Sustainable Development Goals, and the International Sustainability Standards Board (ISSB) International Financial Reporting Standards (IFRS) Sustainability Disclosure Standards.",sustainability reporting standards,sustainability reporting standards,G,neutral,outcome,0.8
126,BRI continues to carry out the Company's transformation program including BRI's sustainability strategy which focuses on 'Strengthening the Sustainable Finance Practice'.,sustainability strategy,sustainability strategy,E-S-G,positive,action,0.85
456,"Through effective, measurable, and well-directed sustainability strategy implementation, we believe Unilever Indonesia can navigate headwinds - laying the groundwork for long-term sustainable growth, and continue to positively impact the environment and society.",sustainability strategy,Sustainability Strategy,E-S-G,positive,action,0.8
475,"To that end, BRI continues to carry out the Company's transformation program including BRI's sustainability strategy which focuses on 'Strengthening the Sustainable Finance Practice'.",sustainability strategy,sustainability strategy,E-S-G,positive,action,0.9
562,positive,none,none,none,none,none,0.9
307,"Melalui penerapan strategi keberlanjutan yang efektif, terukur, dan memiliki arah yang jelas, kami yakin Unilever Indonesia dapat menghadapi berbagai tantangan, meletakkan fondasi yang kuat bagi pertumbuhan jangka panjang secara berkelanjutan, dan terus memberikan dampak positif bagi lingkungan dan masyarakat.",sustainability strategy implementation,Sustainability Strategy Implementation,E-S-G,positive,action,0.9
355,Perjalanan Baru Menuju Masa Depan yang Lebih Baik dan Berkelanjutan,sustainability vision,Sustainability Vision,E-S-G,positive,commitment,0.9
127,"BRI has embraced a sustainable aspiration to become a World Class Sustainable Banking Group, focusing on Environmental, Social, and Governance (ESG) dimensions.",sustainable aspiration,"Sustainability aspiration, sustainable aspiration, sustainable banking",E-S-G,positive,commitment,0.9
304,Melalui nilai-nilai dan budaya yang telah ada Perseroan terus memperkuat landasan bisnis berkelanjutan seraya memberi manfaat kepada seluruh pemangku kepentingannya.,sustainable business practices,"Sustainable Business, Sustainable Business Practices, strengthening sustainable business foundation",E-S-G,positive,action,0.8766666667
