,sentence_norm,canonical_aspect,majority_category,majority_sentiment,majority_tone,runs_count,,,,,,
2553,"Kami telah menyelesaikan penilaian daur hidup sosial (SLCA) atas kemitraan ayam kami, yang merupakan bagian dari proyek road tester yang diprakarsai oleh Program Lingkungan PBB - Life Cycle Initiative dan Social LC Alliance",social life cycle assessment of poultry partnership,s,positive,outcome,1,,,e,positive,action,
2554,"Kami telah menyelesaikan penilaian daur hidup sosial (SLCA) atas kemitraan ayam kami, yang merupakan bagian dari proyek road tester yang diprakarsai oleh Program Lingkungan PBB - Life Cycle Initiative dan Social LC Alliance.",social life cycle assessment (slca),s,positive,outcome,1,,,e,positive,action,
2555,"Kami telah menyelesaikan penilaian daur hidup sosial (SLCA) atas kemitraan ayam kami, yang merupakan bagian dari proyek road tester yang diprakarsai oleh Program Lingkungan PBB - Life Cycle Initiative dan Social LC Alliance.",social life cycle assessment of farmer partnership,s,positive,outcome,1,,,e,positive,action,
2556,"Kami telah menyusun Respectful Workplace Policy yang implementasinya diawasi oleh Dewan Komisaris sebagai bagian dari fungsi pengawasan, dan dilaporkan setiap semester kepada Menteri BUMN.",respectful workplace policy,s-g,positive,outcome,1,,,e,positive,action,
2557,Kami telah menyusun dan menerapkan sistem manajemen untuk menilai risiko LST dalam pembiayaan yang dituangkan dalam petunjuk teknis Industry Acceptance Criteria (IAC) edisi III tahun 2022 (Ketentuan internal No.B3.P1.T16.IAC) dalam Pemberian Kredit.,esg risk management,e-s-g,positive,action,1,,,e,positive,action,
2558,Kami terlibat dalam pembelian kredit karbon melalui Bursa Karbon Indonesia yang telah diluncurkan pada 2023 sebagai bentuk dukungan kami terhadap implementasi carbon trading di Indonesia.,carbon credit trading,e,positive,action,1,,,none,positive,action,
2559,Kami terlibat dalam pembelian kredit karbon melalui Bursa Karbon Indonesia yang telah diluncurkan pada 2023 sebagai bentuk dukungan kami terhadap implementasi carbon trading di Indonesia.,pembelian kredit karbon,e,positive,action,1,,,none,positive,action,
2560,"Kami terus beradaptasi dengan teknologi informasi dan komunikasi yang berkembang cepat, untuk memberikan layanan terbaik serta perlindungan maksimal kepada pemirsa sebagai pemangku kepentingan utama.",adaptasi terhadap teknologi informasi dan komunikasi,none,positive,action,1,,,none,positive,action,
2561,"Kami terus beradaptasi dengan teknologi informasi dan komunikasi yang berkembang cepat, untuk memberikan layanan terbaik serta perlindungan maksimal kepada pemirsa sebagai pemangku kepentingan utama.",inovasi teknologi,none,positive,action,1,,,none,positive,action,
2562,"Kami terus beradaptasi dengan teknologi informasi dan komunikasi yang berkembang cepat, untuk memberikan layanan terbaik serta perlindungan maksimal kepada pemirsa sebagai pemangku kepentingan utama.",technology adaptation,none,positive,action,1,,,s,positive,commitment,
2563,Kami terus berinovasi melalui penelitian dan teknologi untuk meningkatkan efisiensi penggunaan sumber daya sekaligus meminimalkan limbah dan emisi dari aktivitas kami.,efisiensi sumber daya,e,positive,action,1,,,s,positive,commitment,
2564,Kami terus berinovasi melalui penelitian dan teknologi untuk meningkatkan efisiensi penggunaan sumber daya sekaligus meminimalkan limbah dan emisi dari aktivitas kami.,environmental performance,e,positive,action,1,,,s,positive,commitment,
2565,Kami terus berinovasi melalui penelitian dan teknologi untuk meningkatkan efisiensi penggunaan sumber daya sekaligus meminimalkan limbah dan emisi dari aktivitas kami.,inovasi dan teknologi,e,positive,action,2,,,e,positive,action,
2566,Kami terus berinovasi melalui penelitian dan teknologi untuk meningkatkan efisiensi penggunaan sumber daya sekaligus meminimalkan limbah dan emisi dari aktivitas kami.,research and technology for resource efficiency and waste minimization,e,positive,action,1,,,e,positive,action,
2567,Kami terus berinovasi melalui penelitian dan teknologi untuk meningkatkan efisiensi penggunaan sumber daya sekaligus meminimalkan limbah dan emisi dari aktivitas kami.,resource efficiency and emissions reduction,e,positive,action,1,,,e,positive,action,
2568,Kami terus berinovasi melalui penelitian dan teknologi untuk meningkatkan efisiensi penggunaan sumber daya sekaligus meminimalkan limbah dan emisi.,resource efficiency,e,positive,action,2,,,e,positive,action,
2569,Kami terus berinovasi untuk memastikan bahwa produk kami memenuhi kebutuhan konsumen yang terus berubah dan melakukan perbaikan untuk menjaga keterjangkauan produk kami,product innovation and affordability,none,positive,action,1,,,none,positive,action,
2570,Kami terus berinovasi untuk memastikan bahwa produk kami memenuhi kebutuhan konsumen yang terus berubah dan melakukan perbaikan untuk menjaga keterjangkauan produk kami.,innovation,none,positive,action,1,,,none,positive,action,
2571,Kami terus berinovasi untuk memastikan bahwa produk kami memenuhi kebutuhan konsumen yang terus berubah dan melakukan perbaikan untuk menjaga keterjangkauan produk kami.,innovation and affordability,none,positive,action,1,,,none,positive,action,
2572,Kami terus berinovasi untuk memastikan bahwa produk kami memenuhi kebutuhan konsumen yang terus berubah dan melakukan perbaikan untuk menjaga keterjangkauan produk kami.,inovasi produk,none,positive,action,3,,,e-s-g,positive,commitment,
2573,Kami terus berkembang dan meningkatkan produktivitas tim serta berkomitmen untuk berinvestasi dalam program pelatihan dan pendidikan di dalam perseroan.,employee development,s,positive,commitment,1,,,e-s-g,positive,commitment,
2574,Kami terus berkembang dan meningkatkan produktivitas tim serta berkomitmen untuk berinvestasi dalam program pelatihan dan pendidikan di dalam perusahaan.,employee development,s,positive,commitment,1,,,e-s-g,positive,commitment,
2575,Kami terus berkembang dan meningkatkan produktivitas tim serta berkomitmen untuk berinvestasi dalam program pelatihan dan pendidikan di dalam perusahaan.,employee training and education,s,positive,commitment,1,,,e-s-g,positive,commitment,
2577,"Kami terus berupaya mengendalikan pemakaian energi [...] Secara bertahap, kami menerapkan konsep perkantoran hijau.",energy efficiency,e,positive,action,1,,,e-s-g,positive,commitment,
2578,Kami terus berupaya mengendalikan pemakaian energi dan menerapkan konsep perkantoran hijau.,energy efficiency,e,positive,action,1,,,e-s-g,positive,commitment,
2579,"Kami terus berupaya mengendalikan pemakaian energi, baik di kantor pusat, studio, maupun unit pendukung operasional lain.",energy efficiency,e,positive,action,2,,,e,positive,commitment,
2580,"Kami terus berupaya mengendalikan pemakaian energi, baik di kantor pusat, studio, maupun unit pendukung operasional lain.",pengendalian pemakaian energi,e,positive,action,1,,,e,positive,action,
2582,"Kami terus melakukan berbagai inovasi untuk menghadirkan beragam konten dan hiburan ke masyarakat, di antaranya memelopori konsep live streaming event.",innovation,none,positive,action,1,,,e,positive,action,
2583,"Kami terus melakukan berbagai inovasi untuk menghadirkan beragam konten dan hiburan ke masyarakat, di antaranya memelopori konsep live streaming event.",inovasi konten dan hiburan,none,positive,action,1,,,e,positive,action,
2584,Kami terus melakukan berbagai inovasi untuk menghadirkan beragam konten dan hiburan ke masyarakat.,innovation,none,positive,action,1,,,e,positive,action,
2585,"Kami terus memperkuat perjalanan ESG, menekankan komitmennya untuk mencapai hasil ESG yang unggul.",esg,e-s-g,positive,commitment,1,,,s,positive,action,
2586,"Kami terus memperkuat perjalanan ESG, menekankan komitmennya untuk mencapai hasil ESG yang unggul.",esg commitment,e-s-g,positive,commitment,2,,,s,positive,action,
2587,"Kami terus memperkuat perjalanan ESG, menekankan komitmennya untuk mencapai hasil ESG yang unggul.",esg journey and commitment,e-s-g,positive,commitment,1,,,s,positive,action,
2588,"Kami terus memperkuat perjalanan ESG, menekankan komitmennya untuk mencapai hasil ESG yang unggul.",esg performance,e-s-g,positive,commitment,2,,,g,positive,commitment,
2589,"Kami terus memperkuat praktik keberlanjutan di seluruh aspek lingkungan, sosial, dan tata kelola (ESG).",esg integration,e-s-g,positive,commitment,2,,,none,positive,action,
2590,"Kami terus memperkuat praktik keberlanjutan di seluruh aspek lingkungan, sosial, dan tata kelola (ESG).",praktik keberlanjutan,e-s-g,positive,commitment,1,,,e-s-g,positive,commitment,
2591,Kami terus menetapkan target untuk menggunakan teknologi [...] yang lebih hemat energi.,resource efficiency,e,positive,commitment,1,,,none,positive,action,
2592,"Kami terus menetapkan target untuk menggunakan teknologi, baik untuk mengurangi pemakaian kertas atau meningkatkan penerapan teknologi terkini yang lebih hemat energi.",energy efficiency,e,positive,action,1,,,s,positive,outcome,
2593,"Kami terus menetapkan target untuk menggunakan teknologi, baik untuk mengurangi pemakaian kertas atau meningkatkan penerapan teknologi terkini yang lebih hemat energi.",paper reduction,e,positive,action,1,,,s,positive,outcome,
2594,"Kami terus menetapkan target untuk menggunakan teknologi, baik untuk mengurangi pemakaian kertas atau meningkatkan penerapan teknologi terkini yang lebih hemat energi.",penggunaan teknologi ramah lingkungan,e,positive,action,1,,,s,positive,outcome,
2595,"Kami terus menetapkan target untuk menggunakan teknologi, baik untuk mengurangi pemakaian kertas atau meningkatkan penerapan teknologi terkini yang lebih hemat energi.",sustainable technology,e,positive,action,1,,,none,positive,action,
2596,"Kami terus menjalankan komitmen untuk membantu dan mengembangkan masyarakat dengan berbagai kegiatan, termasuk bantuan korban bencana alam dan penyediaan vaksin selama pandemi Covid-19.",community support and disaster response,s,positive,action,1,,,s,positive,outcome,
2597,Kami terus menjalankan komitmen untuk membantu dan mengembangkan masyarakat dengan berbagai kegiatan.,community development,s,positive,action,1,,,e-g,positive,commitment,
2598,Kami terus menjalankan komitmen untuk membantu dan mengembangkan masyarakat dengan berbagai kegiatan.,kontribusi sosial,s,positive,action,1,,,e-g,positive,commitment,
2599,"Kami tetap berkomitmen menghadirkan tayangan yang menghibur dan mendidik, serta informasi yang akurat, faktual, berimbang dan terpercaya bagi pemirsa.",media ethics,g,positive,commitment,2,,,e-g,positive,commitment,
2600,Kami tetap fokus memproduksi secara efisien dengan menerapkan teknologi digital untuk menjaga operasi yang aman dan efektif.,digitalization for safe operations,none,positive,action,1,,,e-s-g,positive,action,
2601,"Kami tetap fokus menjaga kinerja operasional dan melanjutkan komitmen terhadap keberlanjutan, khususnya dalam mencapai Tujuan Pembangunan Berkelanjutan Perserikatan Bangsa Bangsa (UN SDG) ke-2: Mengakhiri Kelaparan",sustainable development goals,e-s-g,positive,commitment,1,,,s-g,positive,outcome,
2602,"Kami tetap fokus pada identifikasi dan pemanfaatan peluang bisnis baru, termasuk eksplorasi pasar, pengembangan proyek-proyek inovatif, serta kemitraan strategis dengan pemangku kepentingan lainnya.",business development,none,positive,action,1,,,s-g,positive,outcome,
2603,Kami tetap memberikan seluruh imbal jasa pekerjaan yang menjadi hak karyawan.,employee compensation,s,positive,outcome,4,,,none,positive,none,
2604,Kami tetap memberikan seluruh imbal jasa pekerjaan yang menjadi hak karyawan.,fair compensation,s,positive,outcome,1,,,e-s-g,positive,commitment,
2605,Kami tetap memberikan seluruh imbal jasa pekerjaan yang menjadi hak karyawan.,pemberian hak karyawan,s,positive,outcome,1,,,e-s-g,positive,commitment,
2606,Kami tidak akan berhenti mempelajari berbagai teknologi dalam menciptakan berbagai inovasi dan meningkatkan layanan kami.,innovation,none,positive,action,1,,,e-s-g,positive,commitment,
2608,"Kami turut membagi nilai bersama pada 250 perusahaan hiburan lokal yang menjadi bagian dari rantai pasok SCM dengan nilai total kontrak naik 13,12% dari tahun sebelumnya.",economic value distribution,s,positive,outcome,1,,,e-s-g,positive,commitment,
2609,Kami turut memegang peranan penting dalam mewujudkan target pemerintah untuk mencapai Net-Zero Emission pada 2060 atau lebih cepat serta mendukung transisi menuju ekonomi rendah karbon melalui penerapan keuangan berkelanjutan dengan mendorong pembiayaan terhadap kegiatan usaha berwawasan lingkungan.,net-zero emission,e-g,positive,commitment,1,,,none,positive,none,
2610,Kami turut memegang peranan penting dalam mewujudkan target pemerintah untuk mencapai Net-Zero Emission pada 2060 atau lebih cepat serta mendukung transisi menuju ekonomi rendah karbon melalui penerapan keuangan berkelanjutan dengan mendorong pembiayaan terhadap kegiatan usaha berwawasan lingkungan.,net-zero emission dan keuangan berkelanjutan,e-g,positive,commitment,1,,,none,positive,none,
2611,Kami turut memegang peranan penting dalam mewujudkan target pemerintah untuk mencapai Net-Zero Emission pada 2060 atau lebih cepat serta mendukung transisi menuju ekonomi rendah karbon melalui penerapan keuangan berkelanjutan dengan mendorong pembiayaan terhadap kegiatan usaha berwawasan lingkungan.,supporting the government's net-zero emission target,e-g,positive,commitment,1,,,s,positive,commitment,
2612,"Kami turut mengakselerasi ekonomi rendah karbon di Indonesia melalui kajian terkait keberlanjutan yang dilaksanakan oleh Mandiri Institute, yang mendorong implementasi nilai-nilai keberlanjutan melalui policy advocacy dan policy research yang terkait dengan sektor keuangan, tren sektoral, dan standar regional serta global.",accelerating the low-carbon economy through sustainability studies,e-s-g,positive,action,1,,,e-s-g,positive,outcome,
2613,"Kami turut menyalurkan kredit sebesar Rp3,58 triliun melalui Fintech yang berfokus terhadap sustainable financing di mana, 245 ribu orang perempuan mendapatkan manfaat dari pembiayaan ini.",financial inclusion for women,s-g,positive,outcome,1,,,e-s-g,positive,outcome,
2614,"Kami turut menyalurkan kredit sebesar Rp3,58 triliun melalui Fintech yang berfokus terhadap sustainable financing di mana, 245 ribu orang perempuan mendapatkan manfaat dari pembiayaan ini.",financing through fintech focused on sustainable financing,s-g,positive,outcome,1,,,s,positive,outcome,
2615,Kami yakin bahwa prospek usaha di bidang media berbasis konten akan terus meningkat seiring naiknya kebutuhan pendidikan dan hiburan.,business prospects,none,positive,none,1,,,s,positive,outcome,
2617,"Kami yakin dengan kemilmen dan integritas untuk mengusung keberlanjutan, kami dapat mencapai motto untuk Berkembang Menuju Kesejahteraan Bersama seraya menjaga warisan dan berkontribusi untuk pembangunan yang berkelanjutan.",commitment to sustainability,e-s-g,positive,commitment,1,,,s,positive,outcome,
2618,"Kami yakin dengan kemilmen dan integritas untuk mengusung keberlanjutan, kami dapat mencapai motto untuk Berkembang Menuju Kesejahteraan Bersama seraya menjaga warisan dan berkontribusi untuk pembangunan yang berkelanjutan.",sustainability,e-s-g,positive,commitment,3,,,s,positive,outcome,
2619,"Kami yakin dengan komitmen dan integritas untuk mengusung keberlanjutan, kami dapat mencapai motto untuk Berkembang Menuju Kesejahteraan Bersama seraya menjaga warisan dan berkontribusi untuk pembangunan yang berkelanjutan.",commitment to sustainability,e-s-g,positive,commitment,1,,,none,positive,none,
2620,"Kami yakin dengan komitmen dan integritas untuk mengusung keberlanjutan, kami dapat mencapai motto untuk Berkembang Menuju Kesejahteraan Bersama seraya menjaga warisan dan berkontribusi untuk pembangunan yang berkelanjutan.",sustainability commitment,e-s-g,positive,commitment,2,,,none,positive,none,
2621,"Kami yakin dengan potensi yang kami miliki, dan dengan kebijakan dan strategi yang tepat, maka Perseroan mampu kembali meraih pertumbuhan bisnis di masa depan.",business growth,none,positive,none,1,,,none,positive,outcome,
2622,"Kami yakin dengan potensi yang kami miliki, dan dengan kebijakan dan strategi yang tepat, maka Perseroan mampu kembali meraih pertumbuhan bisnis di masa depan.",business growth potential,none,positive,none,1,,,e-s-g,positive,outcome,
2625,"Karyawan kami adalah aset berharga untuk perusahaan kami, dan kesejahteraan mereka adalah yang paling penting bagi kami.",employee well-being,s,positive,commitment,1,,,e-s-g,positive,outcome,
2626,Kategori Penghargaan Terbaik Jalan Tol Panjang &lt; 15 KM - Ruas Jalan Tol Gempol-Pandaan PT Jasamarga Pandaan Tol - Peringkat ke 3,sustainability award,e-s-g,positive,outcome,1,,,e-s-g,positive,outcome,
2627,Kategori Penghargaan Terbaik Jalan Tol Panjang 15 - 50 KM Ruas Pandaan-Malang PT Jasamarga Pandaan Malang - Peringkat 1,sustainability award,e-s-g,positive,outcome,1,,,none,positive,outcome,
2628,Kebebasan berserikat melalui adanya serikat pekerja dan Perjanjian Kerja Bersama (PKB).,freedom of association,s,positive,outcome,1,,,none,positive,outcome,
2629,Keberagaman Komposisi Pekerja,workforce diversity,s,positive,outcome,1,,,e-s-g,positive,commitment,
2630,Keberagaman Komposisi Pekerja Employees' Composition Diversity,workforce diversity,s,positive,outcome,1,,,e-s-g,positive,commitment,
2631,"Keberagaman gender di tingkat direksi mencapai 12,5% perempuan dan 47,6% perempuan dari total pegawai.",gender diversity,s,positive,outcome,1,,,e-s-g,positive,commitment,
2632,Keberhasilan Perseroan membukukan pencapaian kinerja yang kuat menunjukkan bahwa strategi bisnis yang kami terapkan berjalan dengan sangat baik.,business performance,none,positive,none,1,,,e-s-g,positive,commitment,
2633,Keberhasilan Perseroan membukukan pencapaian kinerja yang kuat menunjukkan bahwa strategi bisnis yang kami terapkan berjalan dengan sangat baik.,keberhasilan perseroan,none,positive,none,1,,,e-s-g,positive,commitment,
2634,"Keberhasilan kami dalam menjaga kinerja operasional yang baik dicerminkan dengan penjualan neto tahun 2021 yang meningkat sebesar 21,4% menjadi Rp44,9 triliun.",economic performance,none,positive,outcome,1,,,e-s-g,positive,commitment,
2635,"Keberhasilan pada tahun 2020 dalam mengintegrasikan aspek ekonomi, lingkungan, dan sosial telah diterapkan sepanjang perusahaan beroperasi dan berhasil melaksanakan pemenuhan peraturan perundangan lingkungan hidup dan pemenuhan kewajiban pengelolaan lingkungan lainnya sebesar 100%.","integrasi aspek ekonomi, lingkungan, dan sosial",e-s-g,positive,outcome,1,,,e-s-g,positive,commitment,
2636,"Keberhasilan pada tahun 2020 dalam mengintegrasikan aspek ekonomi, lingkungan, dan sosial telah diterapkan sepanjang perusahaan beroperasi dan berhasil melaksanakan pemenuhan peraturan perundangan lingkungan hidup dan pemenuhan kewajiban pengelolaan lingkungan lainnya sebesar 100%.",pemenuhan peraturan perundangan lingkungan hidup,e-s-g,positive,outcome,1,,,e-s-g,positive,commitment,
2637,"Keberhasilan pada tahun 2020 dalam mengintegrasikan aspek ekonomi, lingkungan, dan sosial telah diterapkan sepanjang perusahaan beroperasi dan berhasil melaksanakan pemenuhan peraturan perundangan lingkungan hidup dan pemenuhan kewajiban pengelolaan lingkungan lainnya sebesar 100%.",regulatory compliance,e-s-g,positive,outcome,1,,,none,positive,none,
2638,"Keberhasilan peningkatan kinerja ekonomi didapatkan dengan berbagai cara, antara lain: Memaksimalkan pendapatan periklanan, Mengembangkan platform digital over-the-top (OTT) Vidio dan KLY, Mengendalikan biaya program dan operasional, termasuk memanfaatkan konten dari pustaka untuk tayangan ulang program.",economic performance improvement,none,positive,outcome,2,,,none,positive,none,
2639,"Keberhasilan peningkatan kinerja ekonomi didapatkan dengan berbagai cara, antara lain: Memaksimalkan pendapatan periklanan, Mengembangkan platform digital over-the-top (OTT) Vidio dan KLY, Mengendalikan biaya program dan operasional, termasuk memanfaatkan konten dari pustaka untuk tayangan ulang program.",economic performance improvement strategies,none,positive,outcome,1,,,none,positive,none,
2641,Keberlanjutan adalah sebuah perjalanan yang harus dicapai bersama-sama.,sustainability,e-s-g,positive,commitment,1,,,s,positive,action,
2642,"Keberlanjutan adalah upaya untuk menyeimbangkan pertumbuhan ekonomi, dengan inklusi sosial, budaya, pendidikan dan upaya pelestarian lingkungan sehingga dapat menjamin keberlanjutan usaha dalam jangka panjang.",overall sustainability definition,e-s-g,positive,commitment,1,,,g,positive,outcome,
2643,"Keberlanjutan adalah upaya untuk menyeimbangkan pertumbuhan ekonomi, dengan inklusi sosial, budaya, pendidikan dan upaya pelestarian lingkungan sehingga dapat menjamin keberlanjutan usaha dalam jangka panjang.",sustainable development,e-s-g,positive,commitment,1,,,g,positive,outcome,
2644,"Keberlanjutan adalah upaya untuk menyeimbangkan pertumbuhan ekonomi, dengan inklusi sosial, budaya, pendidikan dan upaya pelestarian lingkungan sehingga dapat menjamin keberlanjutan usaha dalam jangka panjang.",sustainable development definition,e-s-g,positive,commitment,1,,,g,positive,outcome,
2645,Keberlanjutan selalu menjadi prioritas kami dan sekaligus wujud kontribusi nyata dalam mencapai tujuan United Nations Sustainable Development Goals (UN SDGs).,sustainability commitment,e-s-g,positive,commitment,1,,,s,positive,action,
2646,Keberlanjutan telah tertanam dalam operasional kami sejak perusahaan kami berdiri.,keberlanjutan,e-s-g,positive,commitment,1,,,s,positive,action,
2647,"Kebijakan ini bertujuan untuk mengelola lingkungan dengan bertanggung jawab, mempromosikan tanggung jawab sosial, dan meningkatkan standar tata kelola.",responsible environmental management,e-s-g,positive,commitment,2,,,e,positive,commitment,
2648,"Kebijakan ini bertujuan untuk mengelola lingkungan dengan bertanggung jawab, mempromosikan tanggung jawab sosial, dan meningkatkan standar tata kelola.","responsible environmental management, social responsibility, governance standards",e-s-g,positive,commitment,1,,,e,positive,action,
2649,Kebijakan pemerintah merelaksasi pembatasan aktivitas masyarakat dan bisnis setelah dua tahun pandemi telah mendorong konsumsi masyarakat dengan sangat kuat dan menghasilkan perputaran ekonomi yang merata di seluruh wilayah Indonesia.,economic recovery,none,positive,none,1,,,none,neutral,none,
2650,Kebijakan pemerintah merelaksasi pembatasan aktivitas masyarakat dan bisnis setelah dua tahun pandemi telah mendorong konsumsi masyarakat dengan sangat kuat dan menghasilkan perputaran ekonomi yang merata di seluruh wilayah Indonesia.,economic resilience,none,positive,none,1,,,e-s,positive,action,
2651,Kebijakan pemerintah merelaksasi pembatasan aktivitas masyarakat dan bisnis setelah dua tahun pandemi telah mendorong konsumsi masyarakat dengan sangat kuat dan menghasilkan perputaran ekonomi yang merata di seluruh wilayah Indonesia.,kebijakan pemerintah,none,positive,none,2,,,e-s,positive,action,
2652,Kegiatan Media Literacy kepada Anak-anak.,media literacy,s,positive,action,2,,,none,neutral,none,
2653,Kegiatan ini dilakukan untuk memastikan bahwa Kelangsungan Usaha dan Kepatuhan Perseroan terhadap peraturan terkait di bidang Pasar Modal dilaksanakan sesuai dengan prinsip Tata Kelola Perusahaan Yang Baik.,business continuity and compliance with capital market regulations,g,positive,outcome,1,,,none,neutral,none,
2654,Kegiatan ini dilakukan untuk memastikan bahwa Kelangsungan Usaha dan Kepatuhan Perseroan terhadap peraturan terkait di bidang Pasar Modal dilaksanakan sesuai dengan prinsip Tata Kelola Perusahaan Yang Baik.,regulatory compliance,g,positive,outcome,2,,,e-s-g,positive,action,
2655,Kegiatan ini dilakukan untuk memastikan bahwa Kelangsungan Usaha dan Kepatuhan Perseroan terhadap peraturan terkait di bidang Pasar Modal dilaksanakan sesuai dengan prinsip Tata Kelola Perusahaan Yang Baik.,regulatory compliance and corporate governance,g,positive,outcome,1,,,e-s-g,positive,action,
2656,"Kegiatan ini melibatkan internal karyawan Perseroan yang berlokasi kerja di Kantor Pusat, Jakarta Utara untuk berpartisipasi dalam program Donor Darah.",employee participation in blood donation program,s,positive,action,1,,,e-s-g,positive,commitment,
2657,"Kegiatan ini melibatkan internal karyawan Perseroan yang berlokasi kerja di Kantor Pusat, Jakarta Utara untuk berpartisipasi dalam program Donor Darah.",employee participation in csr,s,positive,action,1,,,e-s-g,positive,commitment,
2658,"Kegiatan operasional PERTAMINA berdampak pada perubahan iklim, sehingga Perseroan turut serta mendukung upaya Pemerintah dalam merespons perubahan iklim bersama masyarakat internasional.",climate change impact,e,positive,commitment,3,,,e-s-g,positive,commitment,
2659,Kegiatan reklamasi yang terprogram pada area terdampak.,reklamasi,e,positive,action,1,,,e-s,neutral,none,
2660,"Kegiatan usaha SCM secara umum bergerak pada bidang jasa penyiaran yang menyediakan konten, program maupun tayangan yang berkualitas dan bukan manufaktur atau perdagangan produk atau barang tertentu.",business operations,none,neutral,none,1,,,none,positive,action,
2661,"Kegiatan usaha SCM secara umum bergerak pada bidang jasa penyiaran yang menyediakan konten, program maupun tayangan yang berkualitas dan bukan manufaktur atau perdagangan produk atau barang tertentu. Namun demikian, kami senantiasa berkomitmen untuk memberikan dukungan melalui berbagai bentuk inisiatif dalam konteks produk ramah lingkungan sepanjang tahun 2023 antara lain imbauan untuk mengurangi penggunaan kertas untuk keperluan mencetak dokumen dalam kegiatan operasional sehari-hari dan imbauan untuk mengurangi penggunaan plastik untuk dan mendorong penggunaan wadah makan/minum dari material non-plastik.",eco-friendly initiatives,e-s,positive,action,1,,,s,positive,commitment,
2662,"Kegiatan usaha SCM secara umum bergerak pada bidang jasa penyiaran yang menyediakan konten, program maupun tayangan yang berkualitas dan bukan manufaktur atau perdagangan produk atau barang tertentu. Namun demikian, kami senantiasa berkomitmen untuk memberikan dukungan melalui berbagai bentuk inisiatif dalam konteks produk ramah lingkungan sepanjang tahun 2023 antara lain imbauan untuk mengurangi penggunaan kertas untuk keperluan mencetak dokumen dalam kegiatan operasional sehari-hari dan imbauan untuk mengurangi penggunaan plastik untuk dan mendorong penggunaan wadah makan/minum dari material non-plastik.",environmentally friendly initiatives,e-s,positive,action,1,,,e-s,positive,commitment,
2663,Kehadiran pesaing global pada pasar OTT di Indonesia juga menjadi tantangan baru yang perlu dihadapi dan direspons oleh Perseroan.,competitive challenges,none,neutral,none,1,,,e-s-g,positive,commitment,
2664,Kemudahan yang ditawarkan oleh media OTT membawa tantangan bagi Perseroan untuk mempertahankan eksistensinya.,challenges from ott media,none,neutral,none,1,,,e-s-g,positive,commitment,
2665,"Kepedulian kami terhadap keberlanjutan juga dilakukan dengan melibatkan para pemasok melalui penerapan Kode Etik Pemasok Japfa untuk mewujudkan praktik pengadaan yang etis, bertanggung jawab, dan berkelanjutan.",ethical and sustainable procurement practices,e-s-g,positive,action,1,,,e-s-g,positive,commitment,
2666,"Kepedulian kami terhadap keberlanjutan juga dilakukan dengan melibatkan para pemasok melalui penerapan Kode Etik Pemasok Japfa untuk mewujudkan praktik pengadaan yang etis, bertanggung jawab, dan berkelanjutan.",supplier ethics,e-s-g,positive,action,2,,,s,positive,commitment,
2667,"Kerangka kerja ini menjadi panduan strategis untuk mendukung pembiayaan proyek-proyek berkelanjutan yang berdampak besar, sekaligus memperkuat tata kelola lingkungan dan sosial di setiap aspek operasional.",governance and operational impact,e-s-g,positive,commitment,1,,,e,positive,action,
2668,"Kerangka kerja ini menjadi panduan strategis untuk mendukung pembiayaan proyek-proyek berkelanjutan yang berdampak besar, sekaligus memperkuat tata kelola lingkungan dan sosial di setiap aspek operasional.",governance and sustainability,e-s-g,positive,commitment,1,,,e-s,positive,action,
2669,"Kerangka kerja ini menjadi panduan strategis untuk mendukung pembiayaan proyek-proyek berkelanjutan yang berdampak besar, sekaligus memperkuat tata kelola lingkungan dan sosial di setiap aspek operasional.",sustainable finance framework,e-s-g,positive,commitment,1,,,e-s,positive,action,
2670,Kerawanan pangan yang semakin meningkat karena adanya pertumbuhan populasi dan sumber daya yang menipis dapat mengancam ketahanan pangan dan menghambat pembangunan Indonesia.,kerawanan pangan,e-s,neutral,none,1,,,e-s-g,positive,commitment,
2671,"Kerja sama dengan prinsipal, dan mitra bisnis lainnya pun ditempuh untuk menciptakan program-program khusus yang berkesinambungan.",partnerships and collaborations,none,positive,action,1,,,none,positive,outcome,
2673,Kesehatan,employee health,s,positive,commitment,1,,,none,positive,outcome,
2674,"Kesehatan, Keselamatan Kerja, Lingkungan Hidup",occupational health & safety,e-s,positive,commitment,1,,,none,positive,none,
2675,Keseimbangan kinerja LST merupakan wujud tanggung jawab kami guna mendukung keberlanjutan seluruh lini bisnis Perseroan agar dapat terus hadir di tengah masyarakat.,sustainability balance,e-s-g,positive,commitment,1,,,none,positive,none,
2676,Keseimbangan kinerja LST merupakan wujud tanggung jawab kami guna mendukung keberlanjutan seluruh lini bisnis Perseroan agar dapat terus hadir di tengah masyarakat.,sustainability commitment,e-s-g,positive,commitment,1,,,none,positive,none,
2677,Keseimbangan kinerja LST merupakan wujud tanggung jawab kami guna mendukung keberlanjutan seluruh lini bisnis Perseroan agar dapat terus hadir di tengah masyarakat.,sustainability governance,e-s-g,positive,commitment,1,,,none,positive,none,
2678,Keselamatan Kerja,occupational safety,s,positive,commitment,1,,,e-s,neutral,none,
2679,"Kesempatan ini kami implementasikan melalui cara kami melayani pemirsa dan juga cara kami dalam menghemat energi, serta mengelola limbah produksi.",energy efficiency,e,positive,action,1,,,e-s,neutral,none,
